Index,기능,Method,API Path,Request,Response
USER-001,내 프로필 조회,GET,/api/v1/users/me,None,UserProfileResponse
USER-003,내 프로필 수정,PATCH,/api/v1/users/me,UserProfileUpdateRequest,UserProfileResponse
USER-004,회원탈퇴,DELETE,/api/v1/users/me,WithdrawUserRequest,IdResponse
VOICE-001,음성 기록 세션 생성,POST,/api/v1/voice-record-sessions,VoiceSessionCreateRequest,VoiceSessionResponse
VOICE-002,음성 기록 세션 상세 조회,GET,/api/v1/voice-record-sessions/{sessionId},None,VoiceSessionResponse
VOICE-003,음성 전사문 갱신,PATCH,/api/v1/voice-record-sessions/{sessionId}/transcript,VoiceSessionTranscriptUpdateRequest,VoiceSessionResponse
VOICE-004,음성 대화 턴 추가,POST,/api/v1/voice-record-sessions/{sessionId}/turns,VoiceSessionTurnRequest,VoiceSessionResponse
VOICE-005,음성 세션 AI 구조화 실행,POST,/api/v1/voice-record-sessions/{sessionId}/structure,None,AiParseCandidateResponse
VOICE-006,음성 세션 저장 승인,POST,/api/v1/voice-record-sessions/{sessionId}/confirm,VoiceSessionConfirmRequest,FarmingRecordResponse
VOICE-007,음성 세션 취소,POST,/api/v1/voice-record-sessions/{sessionId}/cancel,None,VoiceSessionResponse
WORK-001,작업 종류 목록 조회,GET,/api/v1/work-types,None,WorkTypeResponse[]
WORK-002,작업 종류별 입력 필드 조회,GET,/api/v1/work-types/{workTypeId}/fields,None,WorkTypeFieldResponse[]
,,,,,
